,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
0,0.06810496002435684,0.02337442710995674,0.04080738127231598,0.07358978688716888,0.3099815357494593,0.31351053997382367,0.29147396413378646,0.28581646865136373,0.17583238297527895,0.0056145149283111095,0.02337442710995674,0.054104799969527884,0.16850015670285862
1,0.10249801725149155,0.01087152399122715,0.11606348305940628,0.16796602308750153,0.36616714312060344,0.27256521059410516,0.27699479209208894,0.3314367167559141,0.20557036374404225,0.011103824712336063,0.10249801725149155,0.07802394168755056,0.19747681544699613
2,0.053883787244558334,0.012687125243246555,0.0009002910228446126,0.047382280230522156,0.3596958285676402,0.2782584795563905,0.21603648173363524,0.31800662875837793,0.16085636279465193,0.017360609024763107,0.053883787244558334,0.12872893895617354,0.15192577234001123
3,0.004903048742562532,0.0052061984315514565,0.021623648703098297,0.024894051253795624,0.24362740591250248,0.23688249915129247,0.20240984745507207,0.22972976426816302,0.12115955798975475,0.030611829832196236,0.0052061984315514565,0.01687846616843741,0.11553067768975525
4,0.010082545690238476,0.17581261694431305,0.2875438332557678,0.12980173528194427,0.27319289899545834,0.3109979702489105,0.33958704418923574,0.36177472398736393,0.236099171074154,0.1557150036096573,0.17581261694431305,0.16101993186805616,0.23166033663471639
5,0.8140538930892944,0.7782213091850281,0.5042825937271118,0.6632809042930603,0.48955821269817745,0.42815767959120643,0.38929481611339284,0.4891293988986356,0.5694973509494884,0.9209156632423401,0.7782213091850281,0.6485312602199524,0.5658736705189636
6,0.17549259960651398,0.07166232168674469,0.12975257635116577,0.4049893617630005,0.40458711550710236,0.323559139802656,0.2790143661797992,0.3861402949691604,0.27189972198326784,0.28193792700767517,0.07166232168674469,0.1962615814563553,0.2644262071295185
7,0.04737294092774391,0.008208874613046646,0.5666846036911011,0.05571915581822395,0.26019757945766037,0.23153945649790017,0.3971892973717058,0.2937808131668979,0.23258659019303496,0.0577642023563385,0.008208874613046646,0.03566284326559721,0.22314090190656555
8,0.14272242784500122,0.01336668897420168,0.031897589564323425,0.01983223855495453,0.3112333697572522,0.2883031541713275,0.40733843760641186,0.3671513691871366,0.19773065945757612,0.5904253721237183,0.14272242784500122,0.1732014322661412,0.19398167975860803
9,0.14055122435092926,0.10941821336746216,0.23623785376548767,0.46484118700027466,0.48793544936024963,0.4311604884189743,0.4241530139082059,0.45575732784672573,0.3437568447522887,0.1542912870645523,0.10941821336746216,0.23541110210688876,0.33745439186867787
10,0.2873251736164093,0.03215061500668526,0.004412550944834948,0.2395440638065338,0.37404872732958255,0.26370200705352415,0.27099445732068345,0.406625377124207,0.23485037152530758,0.10694783926010132,0.2873251736164093,0.1832851425039851,0.23416866891832816
11,0.00448932871222496,0.2631160020828247,0.008880117908120155,0.03869183361530304,0.40206725040743707,0.30488193788569995,0.3409641410046156,0.3879973840893336,0.21888599946319487,0.852253258228302,0.2631160020828247,0.09781435303839042,0.2181698164343262
12,0.2510436773300171,0.022767387330532074,0.15253810584545135,0.06127164512872696,0.3493680344910347,0.2511201466346004,0.2719356026707086,0.290213542433222,0.20628226773303665,0.039785612374544144,0.06127164512872696,0.07992801460956556,0.20151653206531916
13,0.40836527943611145,0.11377185583114624,0.3764589726924896,0.5083030462265015,0.48839163183106415,0.40619887211632244,0.3807812542396414,0.4840679954377227,0.3957923634763749,0.42557433247566223,0.40836527943611145,0.34388505795771934,0.3842367878000366
14,0.004468168132007122,0.025605298578739166,0.012798252515494823,0.036791469901800156,0.28015127268663365,0.23534212334636379,0.37369338086218584,0.2923143992604059,0.1576455456604538,0.030611829832196236,0.025605298578739166,0.021993076292559532,0.15160858419594384
15,0.4152996242046356,0.3016321659088135,0.41180750727653503,0.6128966808319092,0.4090940551444242,0.3922494587924379,0.49797867184413347,0.5335175693870556,0.44680946667374305,0.44334647059440613,0.6128966808319092,0.4495557980664593,0.4518419804884335
16,0.8032681345939636,0.15136966109275818,0.18876750767230988,0.3053797781467438,0.44712099578059195,0.34817331938242174,0.3870542661974512,0.43093605036556787,0.382758714153976,0.42334336042404175,0.18876750767230988,0.3010024725007051,0.37894580329147187
17,0.014910697937011719,0.008198565803468227,0.035062823444604874,0.012295289896428585,0.2612483731288157,0.2587039155246845,0.24028994111227028,0.32001058361055007,0.14384002380722924,0.1801944226026535,0.014910697937011719,0.02092226978607703,0.13668550964310144
18,0.3909189701080322,0.8936325907707214,0.8098740577697754,0.8359450101852417,0.4968554763631294,0.5183802181243083,0.5975533628491954,0.4113552937015738,0.6193143724839972,0.5918633937835693,0.8359450101852417,0.8447893304468703,0.6325611781443021
19,0.21351025998592377,0.003930193837732077,0.4861558675765991,0.01887310855090618,0.39486395689143855,0.22968471231025717,0.28936283915206107,0.24703435907943916,0.23542691217304462,0.015383228659629822,0.003930193837732077,0.16844978356268914,0.2307980752587709
20,0.3615057170391083,0.1610131561756134,0.2589700222015381,0.7020646929740906,0.4433904797261644,0.47300726368378254,0.48840670876677067,0.4673398965033861,0.4194622421338068,0.05793685093522072,0.1610131561756134,0.29129587112202826,0.40828293173913205
